lgn_mean,lgn_std,disr_score,noisy
0.51221204,0.35250786,0.18183374,0
0.3951033,0.16201699,-0.15073523,0
0.597441,0.35679182,-0.12429649,0
0.8918303,0.48266235,-0.75095665,0
0.79838735,0.39490998,-0.18345764,0
0.60896844,0.25870696,-0.07482469,0
0.45508015,0.22043256,-0.08868542,0
0.98263234,0.849441,0.6660185,0
1.0305415,0.61625683,-0.66521454,0
0.77028304,0.44984734,-0.63332427,0
1.2519747,0.47994733,-0.96365756,0
0.8510217,0.5879412,-0.5881916,0
1.037509,0.66433984,-1.0789454,0
0.688464,0.42425025,0.05033636,0
0.4323768,0.19370724,0.095205545,0
0.61680704,0.41172984,-0.30733934,0
0.659806,0.67721134,-0.046773165,0
0.687425,0.3602167,-0.4945668,0
1.2020955,0.76196676,-1.404192,0
0.32364646,0.15904287,0.041973114,0
0.7173353,0.7246285,0.95191133,0
0.9189338,0.4523009,-1.1172467,0
1.1028455,0.5182095,-0.47884655,0
0.9855147,0.39904502,-0.6311785,0
0.43980953,0.24279146,-0.23087713,0
0.5494875,0.27051023,-0.4292224,0
0.56318545,0.2514607,-0.08769399,0
0.38609132,0.16127801,-0.10452488,0
0.4771927,0.50404793,0.7774246,0
0.89469546,0.6124889,-0.6137503,0
0.82614243,0.63435876,0.43400574,0
0.5395603,0.31538317,-0.3401291,0
0.5360142,0.22286527,-0.3230293,0
0.67103016,0.3135782,-0.10992575,0
0.9406905,0.54337,-0.76525164,0
0.73950845,0.41371673,-0.08392221,0
0.36406225,0.18318145,-0.15772453,0
0.52520365,0.25930637,-0.4487658,0
0.37079188,0.22844389,-0.04003218,0
0.67116797,0.32867968,-0.16873875,0
0.4383622,0.20199937,-0.13947332,0
0.96858025,0.56060463,-1.6498237,0
1.4614445,0.804708,-1.8639367,0
0.80871415,0.460743,-0.7357927,0
0.3584434,0.12574445,-0.034216404,0
0.6327839,0.32044426,-0.405961,0
0.8038051,0.5423032,-0.5645986,0
0.9949703,0.48377,-0.8925961,0
0.54963493,0.28615385,-0.25613707,0
0.43131313,0.6455555,1.07165,0
0.70170546,0.31640542,-0.20172864,0
0.34501645,0.19498822,0.017231137,0
0.58315873,0.29568696,-0.12608513,0
0.59520453,0.36291388,-0.7420443,0
1.2040887,0.782398,-1.692529,0
0.41503233,0.15034904,-0.002406299,0
0.53919345,0.2641818,0.07311028,0
0.5996734,0.24840012,-0.103103966,0
1.14406,0.5740574,-0.84701866,0
0.3941649,0.17442043,0.026650101,0
0.46796396,0.28232893,-0.2997715,0
0.75534,0.53829974,-1.1468611,0
1.0592746,0.50538766,-0.83196753,0
0.5195586,0.23004332,-0.26018876,0
0.5385456,0.30476445,-0.5993289,0
0.52067,0.2659099,-0.422269,0
1.0548923,0.6087066,-1.4947995,0
0.9216221,0.40227097,-0.32353067,0
0.731023,0.51798576,-0.72997975,0
1.9587541,1.2385002,-2.3632574,0
0.5555148,0.25851846,-0.30741158,0
0.42616105,0.21163186,-0.29208568,0
0.5485189,0.21994053,-0.21542048,0
0.6452996,0.35858265,-0.5770024,0
0.39082327,0.15158553,0.0013017356,0
0.6754946,0.31105444,-0.5194903,0
0.47962648,0.21861248,-0.007494837,0
1.2565422,0.73184884,-1.1995192,0
0.35444677,0.123884544,-0.0018175542,0
0.35497034,0.23140341,-0.037766144,0
0.6171166,0.30262497,-0.4569278,0
0.7800092,0.33794442,-0.45903015,0
0.97470284,0.41801113,-0.33838874,0
0.3795582,0.1843173,-0.1861051,0
0.46128818,0.3101931,-0.11591123,0
0.9666044,0.5374461,0.26165724,0
0.9484033,0.50058776,-0.45628113,0
1.0426893,0.68827295,-0.71839625,0
0.89050865,0.62626994,-1.1699964,0
0.4335125,0.36886376,-0.9711058,0
0.42247635,0.22455934,0.24147868,0
0.49637833,0.22489324,-0.17170396,0
0.49007374,0.26692587,0.0019240379,0
1.4838241,1.1089371,-1.2418613,0
0.3746541,0.17013173,-0.4238186,0
0.75762117,0.37492582,-0.7284627,0
0.6169772,0.28588498,-0.3469116,0
0.47055963,0.18219328,-0.24749981,0
0.7733133,0.3009674,-0.050828695,0
0.99118894,0.4059995,-0.84622854,0
1.0336543,2.4036825,3.9927766,0
0.51559657,0.22798008,-0.026360571,0
0.48363495,0.27868184,-0.18767264,0
0.77369404,0.8708705,0.60681653,0
0.5862027,0.30538112,-0.39496475,0
0.58670497,0.25594285,0.035981596,0
1.0459667,0.49123117,-0.50141674,0
0.3700707,0.18565919,-0.032616287,0
1.551925,1.1222103,-2.2978313,0
